Ime,Regija,Sektor,Sistem,Prebivalstvo
5251977,Unknown,Unknown,Unknown,Unknown
Aaloth,Outer Rim Territories,Gaulus sector,Unknown,Twi'leks
Aargonar,Unknown,Unknown,Unknown,Humans
Ab Dalis,Outer Rim Territories,Unknown,Ab Dalis system,Unknown
Abafar,Outer Rim Territories,Sprizen sector,Abafar system,Various
Abednedo,Colonies,Unknown,Unknown,Abednedo
Abelor,Mid Rim Territories,Unknown,Unknown,Unknown
Abregado-rae,Core Worlds,Unknown,Abregado system,Unknown
Absanz,Unknown,Unknown,Unknown,Unknown
Actlyon,Outer Rim Territories,Unknown,Unknown,Unknown
Adelphi,Unknown,Unknown,Adelphi system,Unknown
Aeos Prime,Outer Rim Territories,Unknown,Aeos system,Aeosians
Aeten II,Wild Space,Unknown,Unknown,Unknown
Affa,Unknown,Unknown,Unknown,Unknown
Affadar,Unknown,Unknown,Unknown,T'Laeem
Agamar,Outer Rim Territories,Unknown,Agamar system,Unknown
Agaris,Wild Space,Unknown,Unknown,Agarian
Agoliba-Ado,Unknown,Unknown,Agoliba-Tu system,Unknown
Agoliba-Ena,Unknown,Unknown,Agoliba-Tu system,Unknown
Ahch-To,Unknown Regions,Unknown,Ahch-To system,"Human,Lanai"
Ajara,Outer Rim Territories,Cademimu sector,Unknown,Unknown
Akiva,Outer Rim Territories,Unknown,Unknown,"Ahia-Ko,Uugteen"
Alaris,Mid Rim Territories,Mytaranor sector,Kashyyyk system,Unknown
Alderaan,Core Worlds,Alderaan sector,Alderaan system,Humans(Alderaanian)
Aldhani,Unknown,Unknown,Unknown,Humans(Dhani)
Aleen,Mid Rim Territories,Bright Jewel sector,Aleen system,"Aleena,Kindalo"
Aleen Minor,Mid Rim Territories,Bright Jewel sector,Aleen system,Aleena
Allst Prime,Unknown,Unknown,Unknown,Unknown
Aloxl,Deep Core,Unknown,Unknown,Unknown
Aloxor,Mid Rim Territories,Esaga sector,Aloxor system,Unknown
Alpinn,Outer Rim Territories,Unknown,Unknown,Unknown
Alun,Mid Rim Territories,Unknown,Unknown,Unknown
Alzoc III,Outer Rim Territories,Sujimis sector,Unknown,Talz
Ambria,Inner Rim Territories,Unknown,Unknown,Unknown
Amethia Prime,Inner Rim Territories,Unknown,Unknown,Unknown
Ammon IV,Outer Rim Territories,Unknown,Unknown,Unknown
Ammuud,Outer Rim Territories,Corporate Sector,Unknown,Unknown
Anantapar,Outer Rim Territories,Anoat sector,Unknown,Unknown
Anaxes,Outer Rim Territories,Azure sector,Azure system,Unknown
Andelm IV,Outer Rim Territories,Unknown,Unknown,Various
Ando,Mid Rim Territories,Lambda sector,Ando system,Aqualish
Ando Prime,Unknown,Unknown,Unknown,Unknown
Andraven,Unknown,Unknown,Unknown,Unidentified species
Anelsana,Unknown,Unknown,Unknown,Unknown
Angcord,Unknown,Unknown,Unknown,Unknown
Ankhural,Mid Rim Territories,Unknown,Unknown,Unknown
